request_id,type,ttft_ms,tokens_received,total_ms,error
97,long,176.65418999968097,512,35482.63371199937,
100,long,236.5751690012985,512,35545.57776500042,
101,long,236.19462300121086,512,35548.57506300141,
177,short,235.61880300076155,128,8602.813389999937,
178,short,235.43551900002058,128,8602.838580000025,
181,short,237.7616100002342,128,8602.278996000678,
106,long,234.48362800081668,512,35548.92560600092,
185,short,234.1618809987267,128,8601.984004999395,
107,long,233.35689099985757,512,35549.42818300151,
186,short,235.21117599921126,128,8602.445870999873,
108,long,230.81583400016825,512,35549.836870000945,
189,short,231.32086099940352,128,8602.12949400011,
110,long,231.89875100069912,512,35549.98886999965,
111,long,231.79653900115227,512,35554.220252999585,
190,short,234.8797070008004,128,8606.886706000296,
112,long,231.64852100126154,512,35554.55171799986,
183,short,233.64960199978668,128,8611.02050899899,
115,long,175.126869999076,512,35490.42570100028,
191,short,231.41872499945748,128,8584.390762998737,
119,long,241.43640300098923,512,35549.262943999565,
124,long,239.6926710007392,512,35547.93367000093,
127,long,236.72961900047085,512,35545.41828299989,
129,long,236.10655500124267,512,35545.05340200012,
134,long,234.69429899887473,512,35544.11762199925,
136,long,230.73810799905914,512,35541.366251,
196,short,403.3375769995473,128,8780.531113998222,
197,short,403.1395540005178,128,8780.923306001569,
231,short,171.46725299971877,128,8550.152469999375,
199,short,405.0439689999621,128,8783.047797000108,
201,short,402.0229460002156,128,8780.37034800036,
205,short,400.89145099955203,128,8779.590644999189,
206,short,400.69128300092416,128,8779.754119001154,
207,short,400.5038070008595,128,8779.804559000695,
210,short,399.83031200063124,128,8781.949001000612,
211,short,399.6363679998467,128,8782.080434999443,
214,short,398.96146899991436,128,8781.685521998952,
215,short,398.777180000252,128,8781.888519999484,
219,short,397.81073199992534,128,8781.278245000067,
220,short,397.60584400028165,128,8781.399090999912,
223,short,396.88981200015405,128,8781.109542000195,
224,short,396.6901820003841,128,8781.178986999294,
225,short,396.4967859992612,128,8781.228415999067,
226,short,396.3039860009303,128,8781.266666001102,
229,short,395.59053700031654,128,8780.781777000811,
230,short,395.58847800071817,128,8780.890259000444,
235,short,192.00780900064274,128,8606.752085999688,
237,short,191.35205400016275,128,8605.799681999997,
239,short,189.43962500088674,128,8836.19242900022,
241,short,182.21514099968772,128,8841.25340799983,
243,short,178.7924070013105,128,8841.091229000085,
141,long,196.72483000067587,512,35841.9967509999,
146,long,195.5858140008786,512,35841.739147001135,
255,short,246.96265199963818,128,8898.649622000448,
257,short,197.5937220013293,128,8859.01270100112,
147,long,193.94130599903292,512,35846.68102199976,
148,long,193.53904200033867,512,35846.521884999675,
258,short,198.38874899869552,128,8857.28429899973,
260,short,203.67423300012888,128,8859.523134000483,
